Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
24,Travel_Rarely,1046,Human Resources,15,3,Medical,1,1,Female,83,1,Human Resources,2,Married,6188,15789,6,No,11,3,4,80,18,2,2,0,6,6,No
56,Travel_Rarely,314,Sales,28,2,Life Sciences,1,1,Female,59,4,Research Director,2,Single,13935,16777,7,Yes,16,3,1,80,27,4,2,0,6,1,No
51,Travel_Rarely,643,Sales,24,2,Technical Degree,1,2,Female,46,3,Research Director,4,Single,4117,7671,8,Yes,12,3,2,80,29,5,4,2,6,6,No
36,Travel_Frequently,1299,Research & Development,21,1,Technical Degree,1,1,Male,61,1,Research Director,2,Married,4545,12427,6,Yes,17,4,3,80,24,5,1,0,6,6,No
44,Travel_Rarely,587,Sales,29,1,Marketing,1,1,Female,53,2,Human Resources,1,Married,6933,7190,7,Yes,21,3,2,80,30,5,1,2,5,6,No
27,Travel_Rarely,1140,Sales,26,1,Other,1,2,Female,89,1,Research Director,4,Single,14026,4358,9,Yes,20,3,3,80,19,2,3,5,6,10,No
36,Non-Travel,593,Sales,18,3,Other,1,1,Female,64,1,Human Resources,1,Single,8083,24611,8,No,11,3,3,80,20,5,4,1,5,3,No
34,Travel_Rarely,870,Sales,15,2,Marketing,1,1,Female,70,3,Research Director,1,Single,12971,7438,6,Yes,12,3,4,80,30,0,2,2,7,3,Yes
56,Travel_Rarely,605,Research & Development,20,3,Life Sciences,1,2,Female,36,3,Human Resources,2,Married,16159,3651,9,Yes,14,4,1,80,8,1,1,16,6,2,No
23,Non-Travel,476,Sales,21,4,Medical,1,1,Female,67,2,Research Director,1,Single,12176,18953,7,Yes,16,3,4,80,3,5,3,11,7,1,No
40,Travel_Rarely,384,Sales,17,3,Medical,1,1,Male,49,2,Human Resources,1,Single,7087,24904,8,Yes,15,3,2,80,7,2,1,5,7,11,Yes
56,Travel_Rarely,456,Sales,23,1,Other,1,1,Female,73,2,Research Director,1,Single,14440,13518,6,Yes,19,3,3,80,2,0,2,1,7,2,No
33,Travel_Frequently,1117,Research & Development,18,1,Life Sciences,1,4,Female,83,2,Research Director,2,Married,10282,18088,6,Yes,13,4,4,80,18,0,1,14,6,4,No
32,Non-Travel,482,Research & Development,22,4,Other,1,3,Female,85,3,Research Director,1,Single,8063,5785,7,No,12,3,2,80,29,0,4,0,5,8,No
21,Travel_Rarely,869,Research & Development,22,4,Marketing,1,4,Female,48,1,Human Resources,3,Single,8420,7648,9,Yes,14,4,3,80,19,0,2,4,7,9,No
44,Non-Travel,485,Sales,9,1,Medical,1,4,Female,66,2,Research Director,3,Married,4230,12535,7,Yes,11,4,1,80,28,1,2,3,6,5,No
40,Travel_Frequently,265,Human Resources,13,2,Medical,1,3,Female,70,1,Human Resources,4,Single,10280,23138,6,No,18,3,1,80,30,3,4,4,6,1,No
49,Travel_Rarely,312,Research & Development,18,5,Medical,1,1,Female,69,2,Sales Representative,2,Single,6217,5649,7,Yes,15,3,3,80,27,4,2,4,6,4,No
32,Travel_Frequently,183,Sales,15,1,Marketing,1,2,Female,75,1,Research Director,1,Single,16544,11872,6,Yes,13,4,3,80,24,2,2,0,7,2,No
33,Travel_Frequently,416,Sales,16,4,Life Sciences,1,4,Female,55,1,Research Director,1,Single,8864,8515,6,Yes,16,4,4,80,18,2,2,4,8,6,No
30,Travel_Rarely,1158,Research & Development,21,4,Technical Degree,1,1,Female,75,1,Human Resources,2,Married,5418,22905,6,Yes,18,4,4,80,26,4,1,5,12,6,No
40,Travel_Rarely,1240,Sales,16,1,Marketing,1,2,Male,51,3,Research Director,1,Single,14840,9937,7,Yes,14,3,2,80,17,0,3,4,11,1,No
21,Travel_Frequently,1107,Sales,13,1,Life Sciences,1,3,Male,90,2,Research Director,1,Married,10160,10108,6,No,13,3,3,80,25,0,3,0,6,4,No
29,Travel_Frequently,791,Research & Development,12,2,Life Sciences,1,1,Female,91,1,Research Director,2,Married,15952,7908,6,Yes,12,4,2,80,13,1,3,7,7,9,No
27,Travel_Rarely,1151,Research & Development,11,4,Medical,1,3,Female,65,2,Research Director,4,Married,10053,11121,7,No,12,4,4,80,26,1,1,1,6,4,No
30,Non-Travel,1280,Research & Development,19,2,Other,1,2,Female,73,1,Research Director,3,Single,12611,15580,9,Yes,24,4,3,80,14,0,4,14,6,3,No
34,Travel_Frequently,829,Research & Development,15,3,Medical,1,2,Male,71,3,Research Director,1,Divorced,17007,11929,7,Yes,14,3,4,80,16,3,2,8,6,9,No
45,Travel_Rarely,805,Human Resources,19,2,Medical,1,1,Female,51,2,Research Director,4,Married,11401,24824,7,Yes,17,4,2,80,2,4,1,1,8,7,No
43,Non-Travel,1163,Sales,6,4,Medical,1,1,Female,89,1,Human Resources,3,Divorced,14792,23977,8,Yes,11,3,2,80,15,0,1,11,5,6,No
29,Travel_Frequently,1140,Sales,29,4,Technical Degree,1,3,Female,41,3,Research Director,1,Married,8857,6726,6,No,11,3,1,80,6,4,3,0,6,5,No
46,Travel_Rarely,818,Research & Development,15,3,Other,1,3,Male,48,2,Research Director,1,Married,10700,12361,7,Yes,16,3,2,80,15,6,2,5,6,3,No
